NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
56347,3.08493e+06,22.8812,15.3464,15.0949,15.0492,15.47,9.494,1579.42,140
129857,5643,36.3,13.2627,12.7195,12.2743,11.95,9.499,2961.95,132.5
146084,54811,42.2769,13.066,12.7508,12.3153,,9.504,2908.51,137.5
135739,25955,22.9,11.9988,11.6178,11.3366,,9.506,2241.63,140
150499,70295,26.5,12.742,12.4496,12.2218,11.48,9.515,1842.7,165
135572,25102,31.6,13.9073,13.4935,13.1176,12.16,9.519,1817.62,130
124483,39972,33.7941,12.8302,12.4331,12.1497,11.95,9.523,2328.22,130
137391,30776,25.721,12.5746,12.2431,11.9742,,9.527,1774.43,127.5
114557,56334,26.6062,12.6233,12.3104,12.1207,10.8,9.527,1835.21,122.5
164860,51270,23.9,12.7824,12.4889,12.2857,11.82,9.527,1696.5,120
154091,4785,30,12.722,12.4167,12.1831,11.26,9.531,2044.1,230
157950,29730,22.4,12.7037,12.4522,12.2714,12,9.536,1468.84,142.5
146484,,26.5675,23.1244,21.91,22.7339,,9.54,1832.56,120
154122,4957,26.2,12.3308,11.9697,11.6838,11.47,9.543,2617.26,220
124480,39922,33.6386,12.5777,12.2028,11.9456,11.83,9.544,2317.59,130
160464,36493,38.4843,12.9582,12.5949,12.3389,11.86,9.547,2649.12,110
157073,25806,25.5,12.2534,11.9589,11.749,11.7,9.565,2129.53,137.5
150340,70098,42.4442,12.4455,12.0981,11.8427,,9.571,2919.91,147.5
158668,31982,21.4,12.2398,11.9812,11.8384,11.89,9.577,1497.98,130
27385,33074,28.6,12.5724,12.2739,12.0055,11.83,9.583,2408,107.5
27381,33071,35.5092,16.2033,16.0347,15.944,15.3,9.587,2445.57,107.5
51348,51620,36.5,13.1034,12.8252,12.6078,11.63,9.587,2404.62,120
63326,58523,41.6863,12.9445,12.5884,12.2935,,9.588,2868.2,120
144953,51340,34.3693,12.7436,12.389,12.1159,11.36,9.589,2367.58,117.5
142306,43147,26.1,12.456,12.1213,11.93,,9.591,2380.61,157.5
156016,18458,38,13.0655,12.6987,12.4288,,9.594,2981.03,185
166863,57799,23.4,16.5681,16.3077,16.1295,11.92,9.595,291.194,122.5
